full_name,email_address,age,gender,phone_number,location,country,date_joined,lead_source,utm_campaign,utm_medium,notes,is_subscribed
  Ladli Agate  ,ladli.a@hotmail.com,,F,04746872343,Adoni,India,2023-08-01,webinar_signup,camp_106,cpc,,True
  Francisco Kelly  ,francisco_kelly@gmail.com,22,F,+1-241-592-8327x64835, Port Leslieview ,USA,2023-07-21,email_capture,camp_928,email,,False
  Darsh Murthy  ,darsh.murthy@hotmail.com,40,M,+910978820812,Hindupur,India,2022-06-04,facebook_lead,camp_683,organic,,False
  Ekansh Keer  ,ekansh.k@gmail.com,37,F,01939909169,Bhilwara,India,2022-03-23,facebook_lead,camp_108,email,,True
  Melanie Munoz  ,melaniemunoz@hotmail.com,50,F,478-161-8495, North Donnaport ,Canada,2023-04-30,partner_import,camp_440,,VIP,True
  Donald Lowe  ,donaldlowe@email.com,38,F,+44113 496 0838,Quinnshire,UK,2023-07-01,google_form,,cpc,,True
  Tracie Wyatt  ,traciewyatt@outlook.com,39,M,264.752.5534, New Jessica ,Canada,2023-04-02,email_capture,camp_705,,,False
  Samarth Murthy  ,samarth87@email.com,57,F,,Srinagar,India,2023-11-10,email_capture,camp_381,cpc,VIP,False
  Tanay Toor  ,tanay.t@email.com,40,F,02513542784,Begusarai,India,2024-06-12,google_form,camp_550,,follow up,False
  Carl Gentry  ,carlgentry@hotmail.com,32,M,001-553-676-7242, Hurstfurt ,USA,2024-01-16,google_form,camp_413,cpc,do not contact,False
  Chandani Chawla  ,chandani_chawla@hotmail.com,25,F,+914118244935,Bilaspur,India,2023-10-31,google_form,camp_346,cpc,do not contact,True
  Michael Osborn  ,not-valid-email,,M,(387)810-1226,Carlsonmouth,USA,2024-04-11,partner_import,,cpc,do not contact,True
  Yashasvi Suresh  ,yashasvisuresh@email.com,24,F,00164005242, Suryapet ,India,2024-08-27,webinar_signup,camp_527,cpc,follow up,True
  Prisha Andra  ,prishaandra@gmail.com,40,Other,,Aizawl,India,2023-09-28,facebook_lead,camp_959,cpc,,True
  Janya Baral  ,,34,M,03315869232, Haridwar ,India,2023-02-03,webinar_signup,camp_110,,follow up,True
  Jason Gallagher  ,,24,F,16155940,Herrerafurt,Australia,2022-12-27,google_form,,cpc,,True
  Allison Maddox  ,allison86@email.com,36,F,9182451462, Teresaburgh ,USA,2023-10-12,webinar_signup,camp_519,organic,do not contact,False
  Aryan Gola  ,aryan_gola@yahoo.com,41,F,5634216073, Jaunpur ,India,2024-07-10,partner_import,camp_693,cpc,do not contact,True
  William Rodriguez  ,william.r@gmail.com,41,F,+1-948-293-2528x8095, West Natashaport ,USA,2023-04-26,webinar_signup,,email,,False
  Frank Gray  ,frank_gray@gmail.com,,F,(435) 030-5641 x395, Fostermouth ,Canada,2023-11-09,facebook_lead,camp_200,organic,VIP,True
  John Allen  ,,32,F,001-411-671-8227, Brandtside ,USA,2022-01-13,google_form,camp_918,organic,,True
,heinz-jürgen_heintze@hotmail.com,35,F,09083 86379,Altötting,Germany,2023-03-26,google_form,,social,follow up,True
  Inaya Mody  ,inaya80@yahoo.com,22,F,+913036541458, Jorhat ,India,2022-02-25,email_capture,camp_785,cpc,,True
  Ricky Barker  ,ricky.b@outlook.com,,F,0113 4960265, Deanborough ,UK,2023-03-10,facebook_lead,,organic,,True
  Garima Bala  ,garima3@email.com,37,Other,+914294019655, Medininagar ,India,2022-04-17,facebook_lead,camp_215,social,,False
  Yasti D’Alia  ,yasti3@yahoo.com,29,F,, Coimbatore ,India,2022-11-09,facebook_lead,camp_964,organic,VIP,False
  Ganga Murthy  ,ganga.murthy@hotmail.com,27,F,,Bidar,India,2022-12-02,webinar_signup,camp_487,social,,True
  Ladli Ghosh  ,ladli10@yahoo.com,50,M,9468044369, Kirari Suleman Nagar ,India,2023-05-13,partner_import,,social,,True
  Riya Sathe  ,riya_sathe@outlook.com,26,F,,Tirupati,India,2024-01-29,facebook_lead,camp_231,organic,,True
,umangissac@email.com,31,M,+910037917693,Shimla,India,2024-06-10,email_capture,,organic,,True
  Mugdha Kohli  ,mugdha.k@hotmail.com,20,F,, Sirsa ,India,2023-05-18,google_form,,cpc,,False
  Karina Vaughn  ,karina.v@gmail.com,37,M,001-246-557-8713x315,North Chad,USA,2023-01-08,google_form,,email,do not contact,False
  Crystal Perez  ,crystal.perez@hotmail.com,27,F,4519834738,Port Thomas,USA,2023-05-10,facebook_lead,,cpc,,True
  Christian Carter  ,christiancarter@gmail.com,38,M,+61-495-931-034, South Michellefurt ,Australia,2024-04-08,partner_import,camp_155,organic,,False
  Kiaan Shetty  ,kiaan_shetty@outlook.com,27,M,8895798687, Fatehpur ,India,2023-07-09,email_capture,camp_256,social,,False
  Richard Davis  ,richard_davis@yahoo.com,44,M,+1-565-966-7010x65133,South Isaiah,USA,2023-07-21,webinar_signup,,email,,False
  Katy Freudenberger  ,,42,M,0542351161, Ilmenau ,Germany,2022-09-17,webinar_signup,camp_553,,follow up,False
  Shivani Lad  ,shivani.l@gmail.com,,F,+914873471434, Imphal ,India,2024-08-19,email_capture,,,,True
  Joshua Reid  ,joshua10@email.com,48,F,(03)55341928, West Steven ,Australia,2022-04-20,email_capture,camp_346,cpc,,False
  Faris Devi  ,farisdevi@hotmail.com,38,F,+913623166587, Ghaziabad ,India,2024-02-19,facebook_lead,camp_229,,,True
  Samuel Salvi  ,samuelsalvi@gmail.com,33,M,09096705466, Morbi ,India,2023-03-09,webinar_signup,,email,do not contact,False
  Tom Warner  ,tom.warner@email.com,34,M,0141 4960155, Samuelmouth ,UK,2023-04-20,facebook_lead,camp_611,organic,,True
  Douglas Taylor  ,douglastaylor@hotmail.com,24,M,(184) 969-6532 x871,East Courtneychester,Canada,2024-05-20,google_form,,,do not contact,False
  Steven Baxter  ,steven96@hotmail.com,37,M,478-810-8013, Olsonfurt ,USA,2023-08-15,webinar_signup,camp_658,social,VIP,False
  Theodore Mahajan  ,theodore_mahajan@hotmail.com,28,,07065627298, Singrauli ,India,2023-10-23,google_form,,email,,True
  Dörte Hettner  ,dörte.hettner@outlook.com,26,F,+49(0)7816184959,Vilsbiburg,Germany,2022-12-25,google_form,,social,,True
  Joseph Schaefer  ,joseph.s@gmail.com,32,F,, South Robinshire ,Australia,2024-04-16,email_capture,camp_882,,,True
  Avi Chacko  ,,38,F,6272046537, Naihati ,India,2022-06-30,facebook_lead,,email,,False
  Ladli Mall  ,ladli_mall@hotmail.com,25,F,04170805310,Shahjahanpur,India,2022-04-22,webinar_signup,camp_315,social,follow up,False
  Ryan Bahri  ,ryan_bahri@outlook.com,37,M,2327193745, Medininagar ,India,2022-09-06,partner_import,camp_968,,,False
  Rachel Martin  ,rachel_martin@yahoo.com,35,F,5646746872, North Beth ,USA,2022-08-29,facebook_lead,camp_168,email,,True
  Amy Adkins  ,amy_adkins@email.com,61,M,3094788208, New Carlosbury ,USA,2022-10-24,email_capture,,,,True
  Ishwar Gade  ,ishwar44@email.com,25,M,, Kota ,India,2023-07-02,email_capture,,social,VIP,False
  Richard David  ,richard.d@hotmail.com,,F,001-739-690-9169, Lake Jennifer ,USA,2023-11-12,facebook_lead,camp_540,email,,False
  Christof Bien  ,christof.bien@yahoo.com,28,F,(03413) 16475, Kemnath ,Germany,2023-10-14,email_capture,camp_652,cpc,,True
  Nancy Edwards  ,nancyedwards@email.com,49,,+61-476-724-238, Juliechester ,Australia,2024-10-25,google_form,camp_912,organic,follow up,True
  Charvi Dara  ,charvidara@yahoo.com,29,F,0586518506, Aligarh ,India,2022-06-03,facebook_lead,camp_885,cpc,follow up,True
  Rachita Pathak  ,rachita.p@hotmail.com,35,F,7262849877, Guntakal ,India,2024-09-26,google_form,camp_826,organic,,False
  Amrita Naidu  ,amrita.naidu@email.com,35,M,, Anantapur ,India,2024-06-27,facebook_lead,camp_849,social,,True
  Qabil Sura  ,qabil_sura@yahoo.com,18,M,, New Delhi ,India,2023-01-04,google_form,,cpc,,True
  Paula Harvey  ,paula.h@email.com,,F,0141 496 0184, Melissaborough ,UK,2024-07-30,google_form,,social,,True
  Candace Cruz  ,candace.c@outlook.com,42,F,884-801-8451 x462,Lake Nancyview,Canada,2024-05-18,webinar_signup,camp_709,social,,True
  Niharika Suresh  ,niharika.s@outlook.com,51,F,3777014363, Amaravati ,India,2023-08-28,partner_import,,cpc,follow up,True
  Rachael Ross  ,rachael_ross@hotmail.com,53,M,0387101226,Port Patrickmouth,Australia,2023-08-10,partner_import,camp_111,organic,follow up,False
  Allison Maddox  ,allison.maddox@yahoo.com,35,F,1845 1462, Smithview ,Australia,2022-03-22,google_form,camp_319,organic,,True
  Jyoti Solanki  ,jyotisolanki@yahoo.com,18,F,8568557444, Jamshedpur ,India,2024-01-20,webinar_signup,,cpc,do not contact,True
,reyansh_mutti@outlook.com,33,M,+918233749894, Jammu ,India,2022-06-04,partner_import,,social,do not contact,True
  Chaman Karan  ,chaman_karan@outlook.com,34,F,02408240084,Pallavaram,India,2022-01-29,facebook_lead,,social,,True
  Harshil Arora  ,harshilarora@outlook.com,46,M,4777520471, Rewa ,India,2024-08-23,webinar_signup,camp_405,email,,True
  Vyanjana Borah  ,,28,F,0229413186, Nagaon ,India,2022-08-27,email_capture,camp_634,,do not contact,True
  Geraldine Rees  ,geraldine48@email.com,20,M,029 2018341, Port Oliver ,UK,2024-05-08,webinar_signup,,cpc,,False
  Lajita Seshadri  ,lajita.s@outlook.com,42,M,04964990913, Bilaspur ,India,2023-03-21,google_form,,,VIP,True
,finn_dugar@outlook.com,44,M,+912812067974,Ahmednagar,India,2023-07-20,facebook_lead,camp_579,cpc,follow up,False
  Bhavya Mandal  ,bhavya.m@gmail.com,41,F,7134936183, Shimoga ,India,2023-05-14,partner_import,,email,VIP,True
  Lucky Bora  ,luckybora@yahoo.com,38,M,+912499471746, Orai ,India,2022-01-06,facebook_lead,camp_902,,,True
  Wakeeta Sarma  ,wakeeta.s@yahoo.com,27,M,+919065940139, Agartala ,India,2023-05-03,google_form,camp_187,email,follow up,True
  John Foster  ,john47@email.com,22,F,+1-647-451-0799x11838,Nicolebury,USA,2022-08-12,email_capture,camp_605,organic,,True
  Mike Moore  ,mike_moore@gmail.com,22,M,+1-649-380-8412,Lake Angelaview,USA,2024-04-02,partner_import,camp_467,organic,do not contact,True
  Juan Clark  ,juan36@yahoo.com,32,,634-487-4016x40052,Arnoldchester,USA,2023-10-28,facebook_lead,camp_447,social,,True
  Banjeet Gill  ,banjeetgill@hotmail.com,27,M,08742967175, Thoothukudi ,India,2024-05-30,google_form,,organic,follow up,True
  Teresa Gill  ,teresagill@outlook.com,29,F,(614) 893-2528 x809,Smithstad,Canada,2024-08-29,facebook_lead,camp_617,email,,False
  Ekani Cheema  ,,28,M,+915674680715, North Dumdum ,India,2023-11-07,email_capture,,social,do not contact,False
  Ann Rodriguez  ,ann.r@outlook.com,44,M,001-728-205-9826x204, Jasonbury ,USA,2023-12-22,google_form,camp_494,email,do not contact,True
  Jack Raval  ,jack.r@gmail.com,18,M,0876038597, Faridabad ,India,2023-04-09,email_capture,camp_436,email,,True
  Elizabeth Gomez  ,raCHita.p@HoTmail.COM,35,F,+1-469-723-2260,Phambury,USA,2022-11-15,partner_import,,email,VIP,True
  Samar Loke  ,samar28@outlook.com,47,M,2477109324, Suryapet ,India,2022-08-22,google_form,camp_947,social,do not contact,False
  Joseph Cobb  ,joseph.cobb@hotmail.com,28,M,560-573-3754, Lake Jamesmouth ,USA,2023-02-23,google_form,camp_815,social,,False
  Norman Häring  ,norman_häring@yahoo.com,39,F,(04192) 83276, Soltau ,Germany,2023-04-17,email_capture,camp_421,,,True
  Jessica White  ,YASh.gaDE@EmAiL.com,27,F,+4428 9018 0525, Rhysview ,UK,2023-11-14,webinar_signup,,social,VIP,False
  Nikita Chander  ,nikita.chander@yahoo.com,39,F,+911712748467, Latur ,India,2022-10-27,webinar_signup,,organic,,True
  Natasha Decker  ,natasha97@email.com,,F,1-330-391-1718, Lake Thomas ,Canada,2024-07-08,partner_import,camp_322,organic,do not contact,True
  Tanmayi Dhillon  ,tanmayi_dhillon@email.com,35,M,03982146584, Ichalkaranji ,India,2024-06-24,email_capture,,cpc,VIP,True
  Joshua Jones  ,joshua.jones@outlook.com,55,F,001-345-886-8501x42940, Jessicamouth ,USA,2022-07-04,facebook_lead,,email,,False
,samueljoyce@hotmail.com,39,F,569-734-0608, Jonesmouth ,USA,2023-10-21,google_form,,email,VIP,False
  Rita Cross  ,ritacross@gmail.com,30,M,+44(0)28 9018 0192, East Bethany ,UK,2022-03-22,facebook_lead,camp_691,cpc,VIP,False
  Chanchal Suri  ,chanchal44@email.com,40,M,+917875588675, Mathura ,India,2022-04-18,partner_import,,social,,True
  Heidi Roht  ,heidi.r@hotmail.com,39,M,+49(0) 503056413, Freudenstadt ,Germany,2022-06-16,webinar_signup,camp_296,email,,True
  Leela Kaur  ,,45,F,00576627028,Salem,India,2024-02-11,google_form,camp_709,organic,,True
  Ria Chaudhry  ,ria_chaudhry@gmail.com,,F,7026217459,Jodhpur,India,2024-01-12,partner_import,,,,True
  Falguni Walla  ,falguni.w@yahoo.com,,F,05780913431, Navi Mumbai ,India,2022-07-27,email_capture,camp_826,cpc,,True
  Andrea Baker  ,andreabaker@hotmail.com,21,F,+1 (238) 346-5787, East Caleb ,Canada,2022-11-29,facebook_lead,,cpc,VIP,False
  Jessica Dixon  ,jessica57@yahoo.com,57,M,+4428 9018835, East Ryanmouth ,UK,2023-08-07,google_form,camp_311,email,VIP,False
  Teresa Gill  ,teresa48@yahoo.com,51,M,0414 893 252, Lake Tracyville ,Australia,2024-06-21,partner_import,camp_175,cpc,,False
  Harish Sawhney  ,harish.sawhney@yahoo.com,35,F,+914005045562,Bettiah,India,2024-09-11,webinar_signup,,cpc,,True
  Nisha Gole  ,nisha58@outlook.com,48,M,+912196937923, Rohtak ,India,2022-10-29,email_capture,camp_643,social,,True
  Cindy Alvarado  ,cindy.a@email.com,19,F,448-546-5648, Ortegafurt ,USA,2023-04-28,partner_import,,email,do not contact,True
  Tripti Kumer  ,tripti.kumer@yahoo.com,19,M,0748217594, Chandrapur ,India,2023-08-11,partner_import,camp_475,cpc,do not contact,True
  Sarah Koch  ,sarahkoch@gmail.com,57,M,(03)-0391-1718, West Donna ,Australia,2022-11-03,google_form,,social,VIP,True
  Danielle Johnson  ,danielle82@email.com,48,M,533-521-8196x001, New Jamesside ,Singapore,2024-07-25,partner_import,camp_469,email,do not contact,False
  Erica Orr  ,erica.orr@outlook.com,,M,+1-794-968-0443x699,Ramosborough,USA,2023-12-24,email_capture,camp_750,email,follow up,True
  Tanmayi Mittal  ,tanmayi65@hotmail.com,34,M,,Tenali,India,2022-02-11,facebook_lead,,organic,,True
  Joanne Phillips  ,joanne.phillips@outlook.com,18,M,+44117 496 0953,Byrnemouth,UK,2023-11-12,google_form,,organic,VIP,True
  Anvi Anand  ,anvianand@email.com,,F,0974395339,Durgapur,India,2022-10-04,google_form,camp_289,cpc,do not contact,True
  William Leon  ,william_leon@outlook.com,46,M,001-221-248-9513x4332, South Cheryl ,USA,2024-08-27,partner_import,camp_492,email,,True
  Kayla Gibson  ,kayla_gibson@gmail.com,,M,+1-993-267-6320x1632,Port David,USA,2024-03-30,email_capture,camp_341,cpc,VIP,True
  Dennis Marshall  ,,32,F,589.657.9868x72774, Simsview ,USA,2024-05-19,email_capture,camp_532,social,follow up,False
  Gunbir Baral  ,gunbir58@outlook.com,30,M,07095214562,Mira-Bhayandar,India,2024-05-22,facebook_lead,camp_262,email,,False
  Jasmit Wali  ,jasmit_wali@gmail.com,38,M,4247451712, Sikar ,India,2024-01-15,facebook_lead,,cpc,do not contact,False
  Jasmit Chana  ,jasmitchana@yahoo.com,19,M,, Muzaffarpur ,India,2024-01-21,facebook_lead,,social,,True
  Scott Reeves  ,scottreeves@gmail.com,18,M,845.458.1223,North Robert,USA,2024-01-22,google_form,camp_795,cpc,,False
  Urishilla Bakshi  ,urishilla.b@hotmail.com,55,F,8593174612,Agra,India,2023-06-18,google_form,,,follow up,False
  Daksha Tailor  ,dakshatailor@gmail.com,38,F,+911382675869,Vijayanagaram,India,2024-06-30,partner_import,,cpc,,True
  Gerdi Ortmann  ,gerdiortmann@outlook.com,18,F,0724238849, Roth ,Germany,2022-12-23,google_form,,,,True
  Hardik Suri  ,gUnBir58@oUtlooK.COM,37,M,6405377351, Tinsukia ,India,2022-09-22,partner_import,camp_455,cpc,follow up,False
  Roderich Klotz  ,,23,M,+49(0) 287101226, Kusel ,Germany,2023-08-05,facebook_lead,,organic,,False
  Andrew Spencer  ,andrewspencer@hotmail.com,54,M,,Elizabethborough,Canada,2022-11-12,google_form,camp_218,cpc,,True
  Jagrati Bhat  ,jagrati6@gmail.com,47,M,04317139005, Cuttack ,India,2023-06-27,webinar_signup,camp_419,social,,False
,sameshbiswas@outlook.com,27,M,3933529042, Panvel ,India,2024-04-11,partner_import,camp_739,cpc,,False
  Zashil Ghosh  ,zashil.g@outlook.com,18,M,+910205395024,Cuttack,India,2023-12-09,email_capture,camp_998,,follow up,False
  Gareth Pritchard  ,gareth.pritchard@yahoo.com,,F,, Bartlettfurt ,UK,2022-04-14,google_form,camp_900,,follow up,True
  Linda Lloyd  ,linda.l@hotmail.com,36,M,+44(0)1154960871,Port Jamieberg,UK,2023-01-24,webinar_signup,camp_383,email,,True
  Mark Owens  ,markowens@hotmail.com,43,F,2367690967, Karenchester ,USA,2023-03-17,facebook_lead,camp_973,cpc,,True
  Amanda Navarro  ,amanda_navarro@gmail.com,28,M,+1-937-434-6706x562, South Brittanytown ,USA,2022-10-02,email_capture,camp_740,social,VIP,True
  Robert Cole  ,robert.cole@hotmail.com,37,F,302-765-4235x116,Cassandraton,Singapore,2024-03-02,webinar_signup,camp_759,cpc,,False
  Christopher Patterson  ,christopher.p@email.com,18,F,820.646.5375x564,South Andrewside,USA,2024-01-19,webinar_signup,camp_255,social,follow up,True
  Oviya Vora  ,oviya_vora@email.com,40,M,+911775891783, Saharsa ,India,2022-11-02,email_capture,camp_109,cpc,follow up,False
  Charvi Shanker  ,charvi.s@outlook.com,37,M,0076617711,Narasaraopet,India,2024-09-30,google_form,camp_393,,,False
  Stacey Martin  ,stacey_martin@gmail.com,,M,0496 383 465, Lammouth ,Australia,2023-06-28,google_form,camp_169,social,,True
,brettcrane@hotmail.com,35,M,510.403.3092,Caldwellshire,USA,2023-05-12,google_form,,email,,False
  Manbir Bhatti  ,manbir65@email.com,32,F,+914998569847, Navi Mumbai ,India,2024-08-23,webinar_signup,camp_580,,,True
  Stacie Marshall  ,stacie.m@hotmail.com,29,F,, North Brittany ,USA,2022-12-21,google_form,camp_861,social,,True
  Amber Cummings  ,amber_cummings@outlook.com,35,F,237-631-1656 x670, South Jessicaville ,Canada,2023-01-29,partner_import,camp_321,organic,VIP,False
,ishwar_kale@email.com,47,M,07365766156, Rohtak ,India,2023-12-16,webinar_signup,,,,True
  John Lee  ,johnlee@email.com,29,M,126-247-3178 x108, Port Melindaburgh ,Canada,2023-08-18,webinar_signup,,,follow up,True
  Kavya Dua  ,kavya35@hotmail.com,52,M,7111161528, Dharmavaram ,India,2023-07-11,partner_import,camp_304,organic,follow up,True
  Forum Das  ,forum_das@gmail.com,34,M,05604945198, Bhatpara ,India,2023-11-08,facebook_lead,camp_611,social,do not contact,True
  David Walker  ,davidwalker@email.com,37,M,(02).9839.3010, East Rebecca ,Australia,2023-08-12,facebook_lead,,cpc,,False
  Michele Jones  ,michele_jones@gmail.com,21,,0773829973, Aguirreborough ,Australia,2022-12-27,facebook_lead,,,,False
  Maria Sanchez  ,,,F,001-749-219-0586x518, Shortville ,USA,2023-09-04,webinar_signup,,organic,,True
  Vasatika Kapur  ,vasatika_kapur@yahoo.com,27,M,+915851493689, Narasaraopet ,India,2023-07-13,email_capture,,cpc,,False
  Clinton Hopkins  ,clintonhopkins@outlook.com,49,M,(08)67010651, South James ,Australia,2022-12-26,email_capture,camp_384,organic,do not contact,False
  Ryan Cox  ,,28,M,626.728.4987x769, Port Sarah ,USA,2023-05-24,webinar_signup,camp_802,,follow up,True
  Joshua Hayes  ,joshua.h@outlook.com,42,F,, Angelahaven ,USA,2023-04-29,google_form,camp_578,social,,True
  Richard Olson  ,richard.olson@outlook.com,38,F,+1 (902) 606-4746, Mooreport ,Canada,2023-08-28,email_capture,camp_982,organic,,True
,amara61@hotmail.com,39,M,+914455022961, Ludhiana ,India,2023-03-24,partner_import,,,VIP,True
  Gavin Wali  ,gavin.wali@hotmail.com,,F,+916675254599, Faridabad ,India,2023-02-19,email_capture,camp_263,email,do not contact,True
,stacy_miller@gmail.com,37,M,001-567-683-7770x1436, Thomashaven ,USA,2022-04-24,google_form,,,,True
  Nachiket Dugar  ,,42,F,0147679764, Anand ,India,2023-03-23,partner_import,,organic,,False
  Ralf-Dieter Schenk  ,ralf-dieter.s@email.com,,F,08480 184514, Ebermannstadt ,Germany,2024-04-17,google_form,,organic,,False
  Ishaan Pai  ,ishaan_pai@email.com,32,M,01497840369, Chennai ,India,2022-06-14,webinar_signup,,email,VIP,True
  Udo Adler  ,udoadler@hotmail.com,,F,+49(0)8281 48932, Zossen ,Germany,2022-01-08,facebook_lead,,email,,True
  Maurice Barajas  ,mauricebarajas@email.com,18,F,+1-555-774-4431,Lake Amandaburgh,USA,2023-07-19,email_capture,,email,do not contact,False
,samarthmitra@gmail.com,43,F,+912445107622, Katihar ,India,2022-05-18,google_form,camp_626,cpc,,True
  James Rodgers  ,jamesrodgers@yahoo.com,,M,298-494-1343x524, Brandonton ,USA,2022-04-26,email_capture,camp_896,cpc,do not contact,True
  Angela Terry  ,angela.t@outlook.com,37,F,(771)409-4777,West Shelleyfort,USA,2022-10-21,facebook_lead,camp_660,organic,,False
  Jessica Herrera  ,jessica_herrera@yahoo.com,28,F,(518)349-5931x0341,Ramirezstad,Singapore,2024-10-12,webinar_signup,camp_205,email,,True
,victortella@outlook.com,39,F,5160607159, Chapra ,India,2024-08-27,partner_import,,email,,True
  Nidhi Sahni  ,nidhi72@email.com,18,M,01605297516,Latur,India,2022-10-02,webinar_signup,,social,,False
  Rajata Rattan  ,rajata.r@yahoo.com,18,F,1645352181, Karnal ,India,2024-02-12,email_capture,camp_578,email,VIP,True
  Francisco Kelly  ,francisco.k@email.com,42,M,+1-241-592-8327x64835,Port Leslieview,Singapore,2023-09-13,google_form,,cpc,,True
  Indali Divan  ,indali90@yahoo.com,,M,+911243292127, Phusro ,India,2023-02-23,email_capture,,email,follow up,True
  Saumya Naidu  ,saumya_naidu@outlook.com,19,F,5271774490,Guna,India,2024-08-12,google_form,camp_254,organic,,False
  Ethan Mukherjee  ,ethanmukherjee@hotmail.com,52,F,07005411998, Surendranagar Dudhrej ,India,2022-02-03,webinar_signup,,,,False
  Teresa Walsh  ,teresa64@yahoo.com,37,F,+4429 2018 0691, Palmermouth ,UK,2023-11-23,facebook_lead,,email,,True
  Benjamin Sengupta  ,benjamin18@yahoo.com,43,M,3597820715,Dibrugarh,India,2024-09-27,partner_import,,cpc,,True
  Orinder Baral  ,orinder.baral@gmail.com,45,M,+917788925546, Sonipat ,India,2024-04-24,partner_import,camp_174,social,,True
  Charles Natt  ,,27,M,,Etawah,India,2022-02-02,facebook_lead,camp_217,email,,True
  Danny Jones  ,GAvin.WAli@hOTmAIL.Com,23,M,519.802.2941x3186,Kerrport,USA,2024-09-01,email_capture,,social,,True
  Dayita Ramanathan  ,dayita.ramanathan@gmail.com,34,F,+919148652816,Surat,India,2023-04-16,webinar_signup,,social,follow up,True
  Janani More  ,janani.more@hotmail.com,32,M,+913573322141,Naihati,India,2023-01-03,partner_import,,organic,,True
  Karan Puri  ,karanpuri@gmail.com,26,F,+912292706537, Sultan Pur Majra ,India,2023-05-08,webinar_signup,,,follow up,True
  Vivaan Walla  ,vivaan.w@gmail.com,,M,+914735977468, Nanded ,India,2022-04-20,webinar_signup,camp_874,cpc,,True
